24;79
26;426
26;920
28;55
30;137
30;373
2;66
2;181
14;681
16;316
16;951
21;466
22;496
23;438
23;737
24;79
26;546
26;920
28;55
30;137
30;373
31;101
31;175
32;428
32;841
33;543
36;539
36;876
39;197
39;420
39;441
39;992
40;171
40;283
41;253
45;531
46;786
47;702
47;949
48;659
48;739
48;778
51;911
51;972
52;460
52;504
53;323
53;750
54;731
55;808
55;876
56;122
56;140
56;181
56;208
56;223
56;263
56;788
57;424
57;535
57;946
58;979
58;993
59;523
59;719
60;333
60;606
60;930
60;945
60;1021
61;138
61;151
61;301
61;627
61;921
61;995
62;280
62;908
63;336
63;569
63;857
64;529
65;84
65;107
65;249
65;350
65;801
66;384
66;477
66;850
66;938
66;943
67;364
67;744
67;1000
68;161
68;398
68;577
68;863
69;235
69;385
69;424
69;709
69;799
70;457
70;464
70;921
71;36
71;304
71;740
71;988
72;41
72;80
72;439
72;507
72;618
72;815
73;155
73;499
74;0
74;752
74;829
74;943
75;72
75;287
75;666
75;754
75;760
75;933
75;950
76;15
76;681
77;376
77;571
78;209
78;457
78;611
78;677
78;956
79;247
79;254
79;522
79;558
79;652
80;55
80;339
81;25
81;151
81;270
82;61
82;777
84;569
84;826
85;75
85;80
85;138
85;287
85;971
86;65
86;449
86;704
87;46
87;427
87;642
87;832
87;912
88;477
88;743
89;238
89;573
90;197
90;373
91;107
92;214
92;395
92;442
92;671
92;679
92;815
93;405
93;424
93;507
94;842
94;1004
95;35
95;556
95;967
96;15
96;518
96;835
96;995
97;304
97;497
97;721
97;788
98;146
98;333
98;943
99;547
100;276
101;38
101;187
101;525
102;674
103;97
103;233
103;868
103;929
104;532
105;53
105;208
106;3
107;122
107;169
107;721
107;739
107;845
107;883
108;463
108;798
109;394
109;628
110;391
110;622
110;835
111;62
111;287
111;614
112;556
112;583
113;745
114;230
115;131
115;704
115;880
116;24
116;110
117;81
117;513
117;909
117;996
118;886
119;367
119;801
120;330
120;1014
120;1020
121;507
121;713
121;833
122;174
122;323
122;973
122;982
123;337
123;486
123;588
123;945
124;141
124;987
125;750
125;908
126;258
126;322
126;453
126;698
127;412
127;421
128;158
128;182
128;245
128;876
129;216
129;312
129;383
129;844
129;870
130;382
130;512
130;603
131;286
131;768
132;271
132;596
132;812
132;841
132;906
132;929
134;691
135;259
135;263
135;800
135;801
135;802
135;803
135;804
135;807
0;805
0;807
0;800
0;805
0;807
0;948
0;801
0;805
0;807
0;551
0;711
166;287
166;921
167;690
167;880
168;773
170;428
174;340
174;956
175;799
177;713
186;55
187;136
189;50
194;331
195;65
196;302
198;456
199;999
202;208
202;952
207;808
207;845
210;684
216;13
216;616
224;151
224;597
227;875
232;493
233;219
234;365
234;654
234;971
236;517
240;141
240;542
242;275
244;52
245;943
246;570
247;373
248;950
249;80
252;208
252;282
252;397
256;201
258;115
259;737
260;39
263;371
263;743
267;160
267;951
271;189
274;1008
284;971
289;823
290;644
291;223
292;950
297;106
298;420
305;175
306;574
311;267
317;974
318;344
318;466
320;305
321;786
323;739
324;402
327;428
335;94
336;674
337;364
340;470
5;828
14;681
16;316
16;951
31;101
31;175
32;428
32;841
36;539
36;876
381;85
41;253
384;43
387;126
394;680
395;750
396;731
397;767
398;788
399;50
60;333
60;606
403;995
62;280
62;908
63;336
407;801
408;384
408;477
409;106
410;398
410;577
411;235
411;385
411;424
411;709
411;799
70;570
70;886
423;732
423;739
85;75
85;80
85;138
85;287
85;854
432;595
443;209
445;868
446;151
448;831
452;373
464;973
464;982
123;337
468;85
470;405
485;672
486;478
487;654
488;430
488;570
170;982
187;136
187;995
508;526
511;876
530;315
545;182
227;875
552;493
243;503
245;832
566;845
569;120
572;737
267;160
588;208
588;294
588;678
591;515
604;654
289;823
290;644
290;911
625;64
625;169
309;822
311;503
323;739
324;402
646;704
647;929
647;950
649;116
649;737
650;715
652;542
664;218
24;79
24;1013
28;55
30;137
30;373
705;633
712;331
724;908
726;971
727;58
727;801
728;384
728;477
730;398
730;577
731;235
731;385
731;424
731;709
743;788
751;798
769;815
771;207
783;323
784;973
784;982
123;337
787;763
468;85
803;431
484;946
486;478
487;654
808;430
808;570
170;982
823;73
187;136
828;289
828;757
832;451
844;899
846;622
847;77
848;157
848;219
849;222
850;1012
851;236
852;8
852;194
864;424
864;863
868;360
884;984
887;704
888;737
904;596
905;504
905;922
908;724
910;474
910;533
910;666
928;253
945;464
948;596
951;862
952;739
966;770
966;808
967;946
969;751
970;732
971;853
992;316
992;887
1003;121
1004;788
1007;342
1008;543
1011;254
1025;437
1025;995
1026;342
1026;363
1026;912
1027;198
1027;503
1029;444
1029;506
1029;586
